District,Ward,House_type,Legal,Floors,Bedrooms,Area,Price_per_m2,Total_Price_Billion
0,0,0,0,4.0,5.0,46.0,86.96,4.00016
1,1,0,0,4.0,4.0,40.0,65.0,2.6
1,2,1,0,6.0,5.0,32.0,184.38,5.90016
2,3,0,0,4.0,3.0,41.0,64.63,2.64983
3,4,0,0,5.0,4.0,30.0,83.33,2.4999000000000002
4,5,0,0,5.0,4.0,52.0,93.27,4.85004
5,6,1,0,7.0,10.0,165.0,103.03,16.999950000000002
4,7,1,0,2.0,3.0,70.0,102.86,7.2002
6,8,0,0,5.0,3.0,32.0,51.56,1.64992
2,3,0,0,5.0,6.0,65.0,75.38,4.8997
3,9,0,0,5.0,4.0,45.0,64.44,2.8998
2,10,1,0,5.0,5.0,90.0,108.89,9.8001
6,11,0,0,4.0,3.0,32.0,60.94,1.95008
0,0,0,0,5.0,5.0,45.0,95.56,4.3002
7,12,0,0,3.0,2.0,42.0,29.76,1.2499200000000001
8,13,1,0,5.0,4.0,42.0,361.9,15.1998
7,14,0,0,4.0,4.0,43.0,50.0,2.15
9,15,0,0,5.0,3.0,25.0,96.0,2.4
1,16,0,0,3.0,3.0,45.0,51.11,2.29995
9,17,0,0,4.0,2.0,35.0,80.86,2.8301
10,18,0,0,4.0,4.0,38.0,68.42,2.59996
8,19,0,0,5.0,5.0,120.0,125.0,15.0
2,20,2,1,3.0,5.0,200.0,47.25,9.45
9,15,0,0,8.0,7.0,55.0,309.09,16.99995
8,13,1,0,6.0,10.0,70.0,114.29,8.0003
8,21,0,0,4.0,4.0,30.0,50.0,1.5
0,22,0,0,5.0,4.0,34.0,120.59,4.10006
3,23,0,1,4.0,3.0,27.0,72.22,1.94994
2,24,0,0,5.0,4.0,30.0,82.67,2.4800999999999997
8,13,0,0,5.0,3.0,35.0,114.29,4.00015
1,25,0,0,4.0,2.0,18.0,105.56,1.90008
9,26,0,0,5.0,5.0,33.0,136.36,4.49988
3,23,0,0,5.0,3.0,32.0,89.06,2.84992
3,23,0,0,4.0,3.0,20.0,97.5,1.95
6,27,1,0,5.0,4.0,54.0,101.85,5.499899999999999
4,28,0,0,5.0,5.0,40.0,68.75,2.75
3,23,0,1,4.0,3.0,28.0,70.0,1.96
8,29,0,0,3.0,3.0,28.0,100.0,2.8
11,30,0,0,4.0,5.0,42.0,67.86,2.85012
9,31,0,0,4.0,4.0,32.0,84.38,2.70016
6,32,3,0,5.0,4.0,113.0,247.787,27.999931
3,23,1,0,5.0,3.0,30.0,118.33,3.5499
2,10,0,0,3.0,2.0,37.0,53.51,1.9798699999999998
6,33,0,0,1.0,1.0,45.0,71.11,3.19995
10,34,0,0,5.0,4.0,62.0,125.81,7.80022
8,35,0,0,5.0,4.0,41.0,207.32,8.500119999999999
10,36,0,0,4.0,3.0,46.0,81.52,3.7499199999999995
8,37,0,0,5.0,3.0,11.0,131.82,1.45002
3,38,1,0,5.0,4.0,44.0,89.77,3.94988
3,23,1,0,3.0,3.0,21.0,100.0,2.1
6,39,1,2,5.0,5.0,51.0,76.47,3.8999699999999997
8,40,1,0,5.0,8.0,75.0,393.33,29.49975
2,24,0,0,5.0,3.0,35.0,71.43,2.5000500000000003
8,13,0,0,5.0,4.0,54.0,200.0,10.8
11,41,0,0,5.0,4.0,40.0,70.0,2.8
11,42,0,0,4.0,4.0,36.0,65.28,2.3500799999999997
3,9,1,0,5.0,3.0,55.0,51.82,2.8501
9,31,0,0,3.0,2.0,30.0,60.0,1.8
4,43,1,0,3.0,4.0,196.0,80.61,15.79956
4,44,0,0,5.0,5.0,45.0,91.11,4.09995
4,45,0,0,5.0,4.0,37.0,78.38,2.90006
1,46,0,0,5.0,4.0,45.0,128.89,5.80005
3,47,1,0,5.0,6.0,60.0,125.0,7.5
3,23,0,0,5.0,3.0,25.0,96.0,2.4
2,10,0,0,5.0,3.0,34.0,63.24,2.15016
3,9,0,0,4.0,4.0,48.0,62.5,3.0
3,48,0,0,4.0,4.0,34.0,120.59,4.10006
2,49,1,0,5.0,4.0,40.0,50.0,2.0
2,50,0,0,4.0,3.0,33.0,65.15,2.1499500000000005
10,51,0,0,5.0,5.0,48.0,114.58,5.49984
3,52,0,1,2.0,2.0,30.0,28.33,0.8499
11,53,0,0,2.0,3.0,81.0,39.51,3.20031
11,41,1,0,5.0,3.0,45.0,64.44,2.8998
8,21,0,0,4.0,2.0,30.0,86.67,2.6001
2,50,0,0,4.0,4.0,45.0,62.22,2.7999
2,10,0,0,4.0,3.0,36.0,59.72,2.1499200000000003
2,49,3,0,5.0,6.0,83.0,104.43,8.66769
2,3,1,0,4.0,4.0,68.0,76.47,5.19996
7,14,0,0,3.0,3.0,36.0,55.22,1.9879200000000001
1,54,0,0,5.0,4.0,40.0,162.25,6.49
8,40,0,0,2.0,3.0,31.0,74.19,2.29989
1,25,0,0,4.0,3.0,35.0,68.57,2.39995
3,47,0,0,4.0,3.0,48.0,68.75,3.3
0,55,0,0,5.0,4.0,45.0,102.22,4.5999
8,56,0,0,5.0,4.0,31.0,112.9,3.4999000000000002
0,57,0,0,4.0,5.0,45.0,111.11,4.99995
0,58,1,0,5.0,4.0,40.0,187.5,7.5
10,36,0,0,5.0,4.0,36.0,80.56,2.90016
2,3,0,0,4.0,4.0,60.0,83.33,4.9998000000000005
3,23,0,0,5.0,3.0,36.0,76.39,2.75004
2,49,0,0,5.0,4.0,50.0,108.0,5.4
2,3,1,0,2.0,2.0,45.0,122.22,5.499899999999999
8,35,1,0,4.0,4.0,60.0,310.0,18.6
8,59,0,0,5.0,4.0,44.0,163.64,7.2001599999999994
8,21,1,0,6.0,6.0,60.0,483.33,28.9998
3,9,0,0,3.0,2.0,65.0,52.31,3.40015
6,8,0,0,2.0,2.0,34.0,45.82,1.5578800000000002
2,50,1,0,5.0,4.0,50.0,92.0,4.6
3,48,0,0,5.0,4.0,31.0,88.71,2.7500099999999996
9,60,0,0,5.0,6.0,47.0,101.06,4.74982
9,15,1,0,5.0,3.0,45.0,166.67,7.50015
10,61,0,0,1.0,2.0,42.0,50.0,2.1
3,47,0,0,4.0,4.0,49.0,97.96,4.80004
11,53,0,0,3.0,3.0,81.0,37.04,3.00024
2,3,1,0,5.0,4.0,37.0,116.22,4.300140000000001
9,62,0,0,5.0,5.0,61.0,116.39,7.09979
3,47,0,0,5.0,3.0,30.0,95.0,2.85
11,42,0,0,5.0,4.0,35.0,62.86,2.2001
1,63,0,0,3.0,2.0,23.0,82.61,1.9000299999999999
3,64,0,0,5.0,4.0,33.0,77.27,2.5499099999999997
10,36,1,0,4.0,4.0,40.0,140.0,5.6
2,10,0,0,2.0,2.0,48.0,45.83,2.19984
12,65,2,0,5.0,6.0,92.0,146.74,13.500080000000002
8,66,0,0,4.0,3.0,27.0,85.19,2.3001300000000002
3,67,0,0,6.0,4.0,30.0,91.67,2.7500999999999998
11,41,0,0,5.0,4.0,55.0,50.91,2.8000499999999997
3,47,3,0,3.0,3.0,48.0,65.63,3.1502399999999997
0,68,1,0,4.0,3.0,47.0,102.13,4.80011
10,69,0,0,5.0,3.0,37.0,83.78,3.09986
0,0,0,0,4.0,4.0,43.0,90.7,3.9001
10,70,0,0,4.0,3.0,40.0,97.5,3.9
8,71,0,0,3.0,3.0,35.0,97.14,3.3999
10,61,0,0,5.0,4.0,46.0,63.04,2.89984
9,60,0,0,4.0,4.0,85.0,108.24,9.2004
0,55,0,0,4.0,4.0,56.0,81.25,4.55
1,1,0,0,5.0,3.0,42.0,140.48,5.90016
1,72,0,0,5.0,3.0,25.0,82.0,2.05
4,44,0,0,5.0,3.0,30.0,75.0,2.25
6,39,0,0,5.0,4.0,36.0,73.61,2.64996
2,73,1,0,5.0,4.0,36.0,144.44,5.19984
10,61,0,0,5.0,6.0,35.0,100.0,3.5
10,36,1,0,4.0,5.0,55.0,125.45,6.89975
12,74,0,0,1.0,3.0,44.0,56.82,2.50008
2,24,0,0,5.0,3.0,30.0,95.0,2.85
4,44,0,0,5.0,4.0,37.0,67.57,2.5000899999999997
6,75,0,0,6.0,10.0,56.0,130.36,7.300160000000001
1,76,0,0,4.0,2.0,30.2,81.67,2.466434
2,50,1,0,5.0,4.0,32.0,109.38,3.5001599999999997
8,37,0,0,5.0,3.0,40.0,100.0,4.0
8,56,0,0,5.0,3.0,30.0,71.67,2.1501
3,47,0,0,4.0,3.0,48.0,68.75,3.3
8,56,0,0,3.0,2.0,24.0,93.75,2.25
9,26,0,0,3.0,2.0,31.0,100.0,3.1
10,34,0,2,5.0,4.0,35.0,102.86,3.6001
2,77,1,0,6.0,7.0,36.0,152.78,5.50008
11,53,0,0,5.0,3.0,30.0,90.0,2.7
3,9,0,0,5.0,4.0,48.0,56.25,2.7
2,78,0,0,3.0,3.0,33.0,28.79,0.95007
10,79,1,0,8.0,6.0,68.0,286.76,19.49968
9,80,0,0,5.0,3.0,26.0,113.46,2.94996
13,81,0,0,3.0,2.0,33.0,46.61,1.5381299999999998
12,65,1,0,4.0,5.0,185.0,200.0,37.0
4,28,0,0,5.0,3.0,37.0,110.81,4.09997
4,44,0,0,4.0,3.0,35.0,68.0,2.38
2,73,1,0,5.0,3.0,42.0,133.33,5.5998600000000005
1,82,0,0,4.0,4.0,55.0,160.0,8.8
8,66,0,0,4.0,3.0,35.0,85.71,2.99985
2,83,0,0,2.0,2.0,30.0,40.0,1.2
2,78,0,0,3.0,2.0,30.0,40.27,1.2081000000000002
1,84,0,0,4.0,3.0,25.0,120.0,3.0
9,31,0,0,3.0,2.0,20.0,62.5,1.25
1,85,0,0,5.0,4.0,56.0,160.71,8.99976
6,86,0,0,4.0,3.0,31.0,66.13,2.0500299999999996
8,71,0,0,4.0,4.0,63.0,87.3,5.499899999999999
3,47,1,0,5.0,6.0,60.0,125.0,7.5
1,87,0,2,5.0,4.0,36.0,91.11,3.27996
3,4,0,0,4.0,4.0,50.0,73.0,3.65
3,47,1,0,5.0,6.0,60.0,125.0,7.5
2,49,0,0,5.0,4.0,38.0,113.16,4.30008
13,88,0,0,4.0,3.0,33.0,47.88,1.5800400000000001
4,89,0,0,6.0,4.0,40.0,100.0,4.0
8,35,0,0,5.0,4.0,56.0,102.86,5.76016
9,60,2,0,6.0,5.0,80.0,161.13,12.8904
2,20,0,0,5.0,4.0,38.0,113.16,4.30008
8,59,1,0,5.0,5.0,62.0,207.9,12.889800000000001
0,22,0,0,5.0,3.0,40.0,102.5,4.1
3,23,0,0,4.0,4.0,40.0,50.0,2.0
3,90,1,0,3.0,4.0,57.0,63.16,3.60012
2,20,1,0,5.0,3.0,33.0,65.15,2.1499500000000005
2,20,0,0,5.0,4.0,35.0,58.86,2.0601
10,61,0,0,4.0,3.0,32.0,85.94,2.75008
1,63,1,0,4.0,3.0,56.0,58.93,3.30008
11,91,0,0,4.0,5.0,30.0,77.33,2.3199
8,29,0,0,5.0,3.0,39.0,120.51,4.69989
1,1,1,0,6.0,10.0,61.0,85.25,5.20025
0,22,0,0,5.0,3.0,44.0,79.55,3.5002
1,72,0,0,4.0,3.0,35.0,75.71,2.64985
12,74,1,0,4.0,4.0,75.0,119.87,8.99025
2,50,0,0,5.0,3.0,33.0,63.33,2.08989
10,70,0,0,4.0,3.0,32.0,79.69,2.55008
8,37,0,0,5.0,3.0,34.0,111.76,3.79984
10,92,0,0,5.0,4.0,49.0,75.51,3.69999
7,14,0,0,3.0,3.0,40.0,40.0,1.6
1,2,0,0,2.0,2.0,40.0,47.5,1.9
10,36,0,0,2.0,2.0,33.0,74.24,2.4499199999999997
3,52,0,0,5.0,3.0,35.0,77.14,2.6999
7,14,0,0,3.0,3.0,35.0,45.71,1.5998500000000002
12,74,0,0,1.0,2.0,45.0,55.56,2.5002000000000004
4,5,0,0,5.0,4.0,46.0,75.0,3.45
6,32,1,0,3.0,3.0,35.0,41.71,1.45985
2,78,0,0,3.0,3.0,33.0,31.82,1.05006
10,36,1,0,7.0,6.0,65.0,181.54,11.8001
1,82,0,0,4.0,3.0,24.0,77.08,1.84992
3,47,1,0,5.0,6.0,67.0,111.94,7.49998
2,93,0,0,4.0,3.0,32.0,53.13,1.7001600000000001
2,24,0,0,4.0,4.0,33.0,81.82,2.70006
14,94,0,0,2.0,3.0,44.0,35.23,1.55012
2,95,1,0,3.0,4.0,110.0,31.82,3.5002
8,21,0,0,5.0,3.0,35.0,94.29,3.30015
0,55,1,0,5.0,4.0,41.0,112.2,4.6002
7,14,0,0,3.0,3.0,42.0,38.1,1.6002
10,70,0,0,5.0,3.0,35.0,95.71,3.34985
2,83,0,0,4.0,4.0,35.0,41.43,1.45005
8,96,0,0,2.0,1.0,20.0,70.0,1.4
2,24,0,0,5.0,4.0,31.0,72.26,2.24006
8,97,0,0,4.0,3.0,25.0,100.0,2.5
4,5,1,0,4.0,2.0,50.0,80.0,4.0
3,90,0,0,5.0,3.0,30.0,120.0,3.6
8,21,0,0,5.0,3.0,34.0,97.06,3.30004
8,13,0,0,5.0,4.0,30.0,98.33,2.9499
2,98,0,0,4.0,4.0,33.0,83.33,2.7498899999999997
2,83,0,0,4.0,4.0,36.0,40.28,1.45008
6,99,2,0,4.0,6.0,138.0,177.54,24.50052
2,83,0,0,4.0,4.0,40.0,40.5,1.62
2,24,0,0,5.0,4.0,36.0,69.44,2.4998400000000003
9,17,0,0,4.0,4.0,80.0,175.0,14.0
2,3,0,0,4.0,4.0,43.0,60.47,2.60021
8,21,0,0,5.0,3.0,38.0,88.16,3.3500799999999997
2,83,0,0,4.0,4.0,35.0,40.0,1.4
11,100,0,0,4.0,4.0,47.0,63.83,3.0000099999999996
2,10,0,0,5.0,3.0,35.0,81.43,2.85005
4,45,0,0,5.0,3.0,36.0,88.89,3.20004
3,4,3,0,4.0,4.0,76.0,117.11,8.900360000000001
10,18,0,0,4.0,3.0,48.0,143.75,6.9
2,10,0,0,4.0,3.0,33.0,65.15,2.1499500000000005
10,70,0,0,5.0,3.0,26.0,101.92,2.6499200000000003
8,66,0,0,4.0,3.0,22.0,113.64,2.50008
3,48,0,0,5.0,3.0,25.0,96.0,2.4
1,72,0,0,4.0,4.0,45.0,64.0,2.88
2,83,0,0,4.0,3.0,32.0,55.94,1.79008
2,10,0,0,5.0,3.0,34.0,67.65,2.3001000000000005
2,10,0,0,4.0,4.0,31.0,66.13,2.0500299999999996
12,101,0,0,4.0,4.0,37.0,79.73,2.9500100000000002
1,1,0,0,4.0,3.0,35.0,80.0,2.8
2,93,0,0,4.0,4.0,32.0,52.81,1.68992
3,4,0,0,5.0,3.0,40.0,80.0,3.2
2,24,0,0,4.0,3.0,33.0,81.82,2.70006
15,102,1,0,3.0,4.0,82.0,23.78,1.9499600000000001
8,21,0,0,8.0,3.0,25.0,96.0,2.4
10,92,0,0,5.0,3.0,45.0,73.33,3.2998499999999997
14,103,1,0,1.0,1.0,86.0,37.79,3.24994
1,1,0,0,4.0,2.0,35.0,71.43,2.5000500000000003
2,10,0,0,5.0,3.0,35.0,65.14,2.2799
2,50,0,0,4.0,3.0,32.0,73.44,2.3500799999999997
8,21,0,0,3.0,2.0,22.0,84.09,1.84998
9,60,1,0,6.0,5.0,42.0,366.67,15.40014
3,47,0,0,5.0,6.0,53.0,88.68,4.7000399999999996
2,83,0,0,3.0,3.0,35.0,45.71,1.5998500000000002
2,83,0,0,4.0,4.0,38.0,36.84,1.39992
4,89,0,0,5.0,3.0,47.3,46.81,2.2141129999999998
3,64,0,0,4.0,3.0,30.0,75.0,2.25
4,28,0,0,5.0,3.0,30.0,73.33,2.1999
11,41,0,0,3.0,3.0,46.0,52.17,2.39982
11,41,0,0,5.0,4.0,32.0,90.63,2.90016
0,104,1,0,7.0,4.0,50.0,240.0,12.0
8,37,1,0,8.0,7.0,85.0,276.47,23.499950000000002
8,66,0,0,4.0,2.0,25.0,78.0,1.95
10,70,0,0,5.0,3.0,54.0,67.59,3.6498600000000003
2,3,0,0,4.0,6.0,60.0,75.0,4.5
8,105,1,0,3.0,5.0,87.0,212.64,18.49968
3,23,1,0,6.0,5.0,42.0,142.86,6.000120000000001
11,41,0,0,5.0,4.0,50.0,86.0,4.3
2,10,3,0,5.0,5.0,50.0,121.0,6.05
1,85,0,0,3.0,2.0,53.0,75.471,3.999963
9,60,0,2,5.0,3.0,30.0,98.33,2.9499
1,106,0,0,5.0,4.0,32.0,117.19,3.75008
1,72,0,0,4.0,3.0,26.0,100.0,2.6
2,20,0,0,5.0,4.0,35.0,60.0,2.1
11,41,0,0,4.0,3.0,39.0,76.92,2.99988
0,107,0,0,1.0,1.0,55.0,72.73,4.00015
2,83,0,0,4.0,4.0,40.0,40.5,1.62
0,104,0,0,5.0,3.0,32.0,134.38,4.30016
3,47,1,0,5.0,4.0,35.0,88.57,3.0999499999999998
2,24,0,0,5.0,4.0,35.0,62.86,2.2001
10,70,0,0,4.0,3.0,35.0,82.86,2.9001
11,100,0,0,3.0,3.0,47.0,72.34,3.3999800000000002
10,36,0,0,5.0,3.0,33.0,103.03,3.3999900000000003
2,24,0,0,5.0,4.0,35.0,60.0,2.1
6,8,0,0,1.0,1.0,52.0,45.19,2.34988
4,45,0,0,5.0,3.0,37.0,78.38,2.90006
0,0,0,0,6.0,4.0,38.0,92.11,3.50018
9,17,0,0,4.0,4.0,70.0,82.86,5.8002
9,60,0,0,5.0,5.0,60.0,166.67,10.0002
8,59,0,0,5.0,5.0,62.0,114.52,7.100239999999999
9,80,0,0,4.0,3.0,50.0,140.0,7.0
10,61,0,0,5.0,4.0,40.0,112.5,4.5
8,21,0,0,5.0,4.0,30.0,71.67,2.1501
10,70,0,0,5.0,5.0,50.0,64.0,3.2
8,13,0,0,5.0,3.0,35.0,140.0,4.9
9,108,0,0,4.0,4.0,34.0,94.12,3.20008
1,82,0,0,4.0,3.0,34.0,71.18,2.4201200000000003
9,62,0,0,4.0,3.0,25.0,68.0,1.7
1,1,0,0,5.0,4.0,25.0,118.0,2.95
0,0,0,0,4.0,3.0,50.0,72.0,3.6
1,82,0,0,4.0,4.0,45.0,103.33,4.649850000000001
2,109,0,0,4.0,3.0,30.0,98.33,2.9499
2,24,0,0,4.0,3.0,33.0,72.73,2.40009
0,22,0,0,5.0,4.0,42.0,100.0,4.2
6,33,0,0,4.0,2.0,35.0,80.0,2.8
5,110,1,0,2.0,2.0,20.0,550.0,11.0
8,97,0,2,4.0,3.0,25.0,100.0,2.5
2,83,0,0,4.0,3.0,30.0,53.0,1.59
4,44,1,0,4.0,2.0,25.0,122.0,3.05
8,59,0,0,5.0,3.0,32.0,100.0,3.2
0,22,0,0,5.0,4.0,34.0,73.53,2.50002
2,98,0,0,3.0,4.0,57.0,51.75,2.94975
1,106,0,0,5.0,3.0,33.0,115.15,3.7999500000000004
1,111,0,0,5.0,4.0,30.0,95.0,2.85
10,36,0,0,4.0,4.0,53.0,90.57,4.80021
8,37,0,0,3.0,2.0,35.0,88.57,3.0999499999999998
8,59,0,0,5.0,5.0,48.0,93.75,4.5
2,50,0,0,3.0,4.0,47.0,78.72,3.69984
4,112,1,0,4.0,4.0,40.0,95.0,3.8
10,36,0,0,4.0,4.0,38.0,107.89,4.099819999999999
2,50,0,0,5.0,4.0,35.0,71.43,2.5000500000000003
3,67,0,0,1.0,1.0,45.0,44.44,1.9998
2,3,0,0,5.0,6.0,52.0,103.85,5.4002
9,26,0,0,3.0,2.0,21.0,78.57,1.6499699999999997
4,28,0,3,4.0,3.0,52.0,54.81,2.85012
4,28,1,1,5.0,4.0,30.0,91.67,2.7500999999999998
2,83,0,0,4.0,4.0,36.0,40.28,1.45008
10,79,0,0,5.0,4.0,39.0,82.05,3.19995
1,82,0,0,3.0,2.0,25.0,79.2,1.98
3,64,0,0,5.0,3.0,45.0,66.67,3.00015
3,23,0,0,5.0,3.0,40.0,68.75,2.75
2,24,0,0,5.0,4.0,33.0,66.67,2.20011
8,35,0,0,4.0,3.0,38.0,105.26,3.99988
2,24,0,0,4.0,4.0,40.0,75.0,3.0
10,113,0,0,4.0,3.0,32.0,75.0,2.4
12,101,0,0,5.0,5.0,42.0,107.14,4.49988
2,50,0,0,2.0,2.0,41.0,43.9,1.7998999999999998
10,61,0,0,5.0,4.0,40.0,87.5,3.5
5,114,0,0,4.0,4.0,66.0,75.76,5.000160000000001
11,53,1,0,5.0,4.0,38.0,92.11,3.50018
1,111,0,0,5.0,3.0,35.0,82.86,2.9001
8,21,0,0,4.0,2.0,38.0,92.11,3.50018
