District,Ward,House_type,Legal,Floors,Bedrooms,Area,Price_per_m2,Total_Price_Billion
Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,4.0,5.0,46.0,86.96,4.00016
Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,40.0,65.0,2.6
Hai Bà Trưng,Đống Mác,"Nhà mặt phố, mặt tiền",Đã có sổ,6.0,5.0,32.0,184.38,5.90016
Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,41.0,64.63,2.64983
Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,30.0,83.33,2.4999000000000002
Long Biên,Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,52.0,93.27,4.85004
Hoàn Kiếm,Phúc Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,7.0,10.0,165.0,103.03,16.999950000000002
Long Biên,Gia Thụy,"Nhà mặt phố, mặt tiền",Đã có sổ,2.0,3.0,70.0,102.86,7.2002
Nam Từ Liêm,Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,32.0,51.56,1.64992
Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,5.0,6.0,65.0,75.38,4.8997
Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,45.0,64.44,2.8998
Hà Đông,La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,5.0,90.0,108.89,9.8001
Nam Từ Liêm,Tây Mỗ,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,32.0,60.94,1.95008
Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,5.0,5.0,45.0,95.56,4.3002
Huyện Thanh Trì,Tả Thanh Oai,"Nhà ngõ, hẻm",Đã có sổ,3.0,2.0,42.0,29.76,1.2499200000000001
Đống Đa,Láng Hạ,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,4.0,42.0,361.9,15.1998
Huyện Thanh Trì,Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,43.0,50.0,2.15
Ba Đình,Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,25.0,96.0,2.4
Hai Bà Trưng,Bách Khoa,"Nhà ngõ, hẻm",Đã có sổ,3.0,3.0,45.0,51.11,2.29995
Ba Đình,Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,4.0,2.0,35.0,80.86,2.8301
Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,38.0,68.42,2.59996
Đống Đa,Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,5.0,5.0,120.0,125.0,15.0
Hà Đông,Kiến Hưng,Nhà biệt thự,Đang chờ sổ,3.0,5.0,200.0,47.25,9.45
Ba Đình,Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,8.0,7.0,55.0,309.09,16.99995
Đống Đa,Láng Hạ,"Nhà mặt phố, mặt tiền",Đã có sổ,6.0,10.0,70.0,114.29,8.0003
